procedureName;procedureSequence;abbreviation;correspondance
ps_Exec_FicheCompteUtilisateur;3468;fcut;xx_524_f34fcut68r
ps_Exec_FicheCreationCompteUtilisateur;3573;fccu;xx_524_f35fccu73r
ps_Exec_FicheRemonte;2444;fire;xx_524_f24fire44e
ps_Exec_FicheRemonte_D;2281;frdf;xx_524_f22frdf81d
ps_Exec_FicheRemonte_I;3209;frif;xx_524_f32frif09i
ps_Exec_FicheRemonte_Parent;3421;frpa;xx_524_f34frpa21t
ps_Exec_FicheRemonte_Report;3721;frre;xx_524_f37frre21t
ps_Exec_FicheRemonte_SaisiDep;2236;frsd;xx_524_f22frsd36p
ps_Exec_FicheRemonte_TransfererCentral;2271;frtc;xx_524_f22frtc71l
ps_Exec_FicheRemonte_TransfererFromRegion;3715;frtf;xx_524_f37frtf15n
ps_Exec_FicheRemonte_TransfererFromRegion_SupprLigne;3122;frtf;xx_524_f31frtf22e
ps_Exec_FicheRemonte_U;2749;fruf;xx_524_f27fruf49u
ps_Exec_FicheRemonteAnnulerValidation;2453;frav;xx_524_f24frav53n
ps_Exec_FicheRemonteByAutDep;2056;frba;xx_524_f20frba56p
ps_Exec_FicheRemonteValider;2549;frva;xx_524_f25frva49r
ps_Exec_FindCarnetByNumBon;3496;fcbn;xx_524_f34fcbn96n
ps_Exec_FonctionPrincipal_SL;3222;fpsl;xx_524_f32fpsl22l
ps_Exec_FRM;2837;frmf;xx_524_f28frmf37m
ps_Exec_FRMatrice;2120;frma;xx_524_f21frma20e
ps_Exec_From_fn_Exec_ActeJuridique_Consomme;3515;ffea;xx_524_f35ffea15e
ps_Exec_From_fn_Exec_Paragraphe_AEDisponible;3042;ffep;xx_524_f30ffep42e
ps_Exec_FTA;3613;ftaf;xx_524_f36ftaf13a
ps_Exec_FTA_Disponible;3837;ftdi;xx_524_f38ftdi37e
ps_Exec_Get_ArticleBudgetaireByKey;3191;gabb;xx_524_g31gabb91y
ps_Exec_Get_Association_Nouveau_Matricule_Ordonnateur;3396;ganm;xx_524_g33ganm96r
ps_Exec_Get_ChapitreBeneficiaire;3726;gcbe;xx_524_g37gcbe26e
ps_Exec_Get_Contribuable_By_RaisonSocial;3497;gcbr;xx_524_g34gcbr97l
ps_Exec_Get_List_Bons_By_Exe_Chap;3093;glbb;xx_524_g30glbb93p
ps_Exec_Get_NumCompteBancaireByNumBon;3822;gncb;xx_524_g38gncb22n
ps_Exec_Get_Tache_By_Activite;3312;gtba;xx_524_g33gtba12e
ps_Exec_GetAccreditationsReport;2657;gare;xx_524_g26gare57t
ps_Exec_GetAgentAccreditations;2273;gaac;xx_524_g22gaac73s
ps_Exec_GetAgentHabilite;1931;gaha;xx_524_g19gaha31e
ps_Exec_GetAgentHabiliteRetrait;3606;gahr;xx_524_g36gahr06t
ps_Exec_GetArrondissementsByIdDepartement;3164;gabi;xx_524_g31gabi64t
ps_Exec_GetArticleBudgetaireByCategorieRegion;2213;gabb;xx_524_g22gabb13n
ps_Exec_GetBaremeMissionByType;3099;gbmb;xx_524_g30gbmb99e
ps_Exec_GetBonParagrapheByAE;2018;gbpb;xx_524_g20gbpb18e
ps_Exec_GetBonTransmission;2818;gbtr;xx_524_g28gbtr18n
ps_Exec_GetBonTransmission_Annulation;2065;gbta;xx_524_g20gbta65n
ps_Exec_GetCarnetEmisByControle;3795;gceb;xx_524_g37gceb95e
ps_Exec_GetContribuableBudgetaireByNum;3439;gcbb;xx_524_g34gcbb39m
ps_Exec_GetContribuableByNum;2070;gcbn;xx_524_g20gcbn70m
ps_Exec_GetContribuableByNumContribuable;2026;gcbn;xx_524_g20gcbn26e
ps_Exec_GetControleFinancierByTypeControle;3613;gcfb;xx_524_g36gcfb13e
ps_Exec_GetDepartementsByIdRegion;3425;gdbi;xx_524_g34gdbi25n
ps_Exec_GetFonctionPrincipaleBySecteur;2578;gfpb;xx_524_g25gfpb78r
ps_Exec_GetFonctionPrincipalesByUserChapitre;2954;gfpb;xx_524_g29gfpb54e
ps_Exec_GetImputation;3609;geim;xx_524_g36geim09n
ps_Exec_GetImputationByPaID;3964;gibp;xx_524_g39gibp64d
ps_Exec_GetListContribuableBudgetaire;3432;glcb;xx_524_g34glcb32e
ps_Exec_GetListeCourrierDossierPieceByCourrierDossierId;3880;glcd;xx_524_g38glcd80d
ps_Exec_GetLocaliteExterieursByPays;2802;gleb;xx_524_g28gleb02s
ps_Exec_GetMaxNumOrdreByCategorie;2453;gmno;xx_524_g24gmno53e
ps_Exec_GetObjectifsProgramme;2482;gopr;xx_524_g24gopr82e
ps_Exec_GetPaysByContinent;1960;gpbc;xx_524_g19gpbc60t
ps_Exec_GetPosteComptable;2432;gpco;xx_524_g24gpco32e
ps_Exec_GetPosteComptable_NV;3325;gpcn;xx_524_g33gpcn25v
ps_Exec_GetPosteComptableArrById;3685;gpca;xx_524_g36gpca85d
ps_Exec_GetPosteComptableByCodeExecution;2860;gpcb;xx_524_g28gpcb60n
ps_Exec_GetPosteComptableDepById;2999;gpcd;xx_524_g29gpcd99d
ps_Exec_GetPosteComptableRegionByID;2889;gpcr;xx_524_g28gpcr89d
ps_Exec_GetPosteTraitementbyCode;3656;gptc;xx_524_g36gptc56e
ps_Exec_GetRegionsByExercice;2241;grbe;xx_524_g22grbe41e
ps_Exec_GetUnites;3512;geun;xx_524_g35geun12s
ps_Exec_GetVirement_By_VirementId;2157;gvbv;xx_524_g21gvbv57d
ps_Exec_GetVirement_By_VirementProjetId;3486;gvbv;xx_524_g34gvbv86d
ps_Exec_GrandeMasse_Update;2085;gmup;xx_524_g20gmup85e
ps_Exec_Groupe;3237;grou;xx_524_g32grou37e
ps_Exec_Groupe_Controleur_MAJ;2291;gcma;xx_524_g22gcma91j
ps_Exec_Groupe_IU;3241;griu;xx_524_g32griu41u
ps_Exec_IBIS_AnnulerTransfert;3839;iatr;xx_524_i38iatr39t
ps_Exec_IBIS_AnnulTransfert;3589;iatr;xx_524_i35iatr89t
ps_Exec_IBIS_CaisseAvMouvement;1913;icam;xx_524_i19icam13t
ps_Exec_IBIS_CaisseMouvement;3078;icmo;xx_524_i30icmo78t
ps_Exec_IBIS_Carnet;1986;ibca;xx_524_i19ibca86t
ps_Exec_IBIS_GenererFichier;3543;igfi;xx_524_i35igfi43r
ps_Exec_IBIS_InsertCaisseAv;3353;iica;xx_524_i33iica53v
ps_Exec_IBIS_InsertCarnet;3705;iica;xx_524_i37iica05t
ps_Exec_IBIS_Saisie;3241;ibsa;xx_524_i32ibsa41e
ps_Exec_IBIS_Select;2431;ibse;xx_524_i24ibse31t
ps_Exec_IBIS_Virement;2742;ibvi;xx_524_i27ibvi42t
ps_Exec_IBIS_VirementCADRE;3250;ivca;xx_524_i32ivca50e
ps_Exec_IBIS_VirementMouvement;2551;ivmo;xx_524_i25ivmo51t
ps_Exec_IBIS_VirementMouvementCADRE;3735;ivmc;xx_524_i37ivmc35e
ps_Exec_Immobilisation_By_PVReception;2327;ibpr;xx_524_i23ibpr27n
ps_Exec_Immobilisation_By_PVReceptionPourFicheImmo ;1947;ibpr;xx_524_i19ibpr47 
ps_Exec_Immobilisation_D;2153;imdi;xx_524_i21imdi53d
ps_Exec_Immobilisation_FactureLignePourFicheImmo;3500;iflp;xx_524_i35iflp00o
ps_Exec_Immobilisation_IU;3815;imiu;xx_524_i38imiu15u
ps_Exec_Immobilisation_NatureEcoByCode;2686;ineb;xx_524_i26ineb86e
